2020-09-15 14:28:17 [main] WARN  by.artempvn.task03.reader.DataReader- Can't read file null. Try to use default path
2020-09-15 14:28:17 [main] INFO  by.artempvn.task03.reader.DataReader- Number of read strings = 7
2020-09-15 14:28:17 [Thread-1] INFO  by.artempvn.task03.reader.DataReader- Number of read strings = 7
2020-09-15 14:28:17 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 is looking for free berth
2020-09-15 14:28:17 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 is looking for free berth
2020-09-15 14:28:17 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 entered berth №1
2020-09-15 14:28:17 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 entered berth №2
2020-09-15 14:28:17 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 got permission for loading
2020-09-15 14:28:17 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 got permission for unloading
2020-09-15 14:28:22 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 got cargo. Current cargo is 1/3
2020-09-15 14:28:22 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 unloaded cargo. Current cargo is 2/2
2020-09-15 14:28:22 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 got permission for unloading
2020-09-15 14:28:22 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 got permission for loading
2020-09-15 14:28:27 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 unloaded cargo. Current cargo is 1/2
2020-09-15 14:28:27 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 got cargo. Current cargo is 2/3
2020-09-15 14:28:27 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 got permission for unloading
2020-09-15 14:28:27 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 got permission for loading
2020-09-15 14:28:32 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 unloaded cargo. Current cargo is 0/2
2020-09-15 14:28:32 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 unload complete
2020-09-15 14:28:32 [Thread-6] INFO  by.artempvn.task03.service.HarbourService- Ship Ship6 leaves berth №2
2020-09-15 14:28:32 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 got cargo. Current cargo is 3/3
2020-09-15 14:28:32 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 load complete
2020-09-15 14:28:32 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 is looking for free berth
2020-09-15 14:28:32 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 entered berth №2
2020-09-15 14:28:32 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 got permission for loading
2020-09-15 14:28:32 [Thread-1] INFO  by.artempvn.task03.service.HarbourService- Ship Ship1 leaves berth №1
2020-09-15 14:28:32 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 is looking for free berth
2020-09-15 14:28:32 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 entered berth №1
2020-09-15 14:28:32 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 got permission for loading
2020-09-15 14:28:37 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 got cargo. Current cargo is 1/2
2020-09-15 14:28:37 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 got permission for loading
2020-09-15 14:28:37 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 got cargo. Current cargo is 1/2
2020-09-15 14:28:37 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 got permission for loading
2020-09-15 14:28:42 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 got cargo. Current cargo is 2/2
2020-09-15 14:28:42 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 load complete
2020-09-15 14:28:42 [Thread-3] INFO  by.artempvn.task03.service.HarbourService- Ship Ship3 leaves berth №2
2020-09-15 14:28:42 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 is looking for free berth
2020-09-15 14:28:42 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 entered berth №2
2020-09-15 14:28:42 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 got permission for unloading
2020-09-15 14:28:42 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 got cargo. Current cargo is 2/2
2020-09-15 14:28:42 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 load complete
2020-09-15 14:28:42 [Thread-2] INFO  by.artempvn.task03.service.HarbourService- Ship Ship2 leaves berth №1
2020-09-15 14:28:42 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 is looking for free berth
2020-09-15 14:28:42 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 entered berth №1
2020-09-15 14:28:42 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 got permission for unloading
2020-09-15 14:28:47 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 unloaded cargo. Current cargo is 2/3
2020-09-15 14:28:47 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 got permission for unloading
2020-09-15 14:28:47 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 unloaded cargo. Current cargo is 2/2
2020-09-15 14:28:47 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 got permission for unloading
2020-09-15 14:28:52 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 unloaded cargo. Current cargo is 1/3
2020-09-15 14:28:52 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 got permission for unloading
2020-09-15 14:28:52 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 unloaded cargo. Current cargo is 1/2
2020-09-15 14:28:52 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 got permission for unloading
2020-09-15 14:28:57 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 unloaded cargo. Current cargo is 0/3
2020-09-15 14:28:57 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 unload complete
2020-09-15 14:28:57 [Thread-4] INFO  by.artempvn.task03.service.HarbourService- Ship Ship4 leaves berth №2
2020-09-15 14:28:57 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 unloaded cargo. Current cargo is 0/2
2020-09-15 14:28:57 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 unload complete
2020-09-15 14:28:57 [Thread-5] INFO  by.artempvn.task03.service.HarbourService- Ship Ship5 leaves berth №1
